InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5701767,1/15/15 0:00,1,PASS,LITTLE BUDDY #2,2001 S WAYSIDE,77023,Restaurant - Single Service,,0,MEDIUM
5701992,1/15/15 0:00,1,PASS,SOUTH CAMPUS SPORTS BASEBALL CONCESSION STAND,10001 STELLA LINK,77025,Restaurant - Single Service,"HOT DOGS, ETC.",8,HIGH
5702545,1/21/15 0:00,1,PASS,W GRILL,12301 KURLAND DR STE 175,77034,Restaurant - Single Service,,4,MEDIUM
5703091,1/27/15 0:00,1,PASS,FOODWAY,10949 S SAM HOUSTON PKWY W,77031,Restaurant - Single Service,"BEVERAGES, ETC.",6,MEDIUM
5700557,1/7/15 0:00,5,FAIL,MURPHY'S DELI,1200 MCKINNEY STE 337,77010,Restaurant - Single Service,DELI,6,HIGH
5700600,1/7/15 0:00,1,PASS,JACK IN THE BOX #651,2218 LITTLE YORK,77093,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5721804,1/30/15 0:00,1,PASS,TIMEWISE FOOD STORE #3201,6155 SOUTHWEST  FWY,77057,Restaurant - Single Service,,5,MEDIUM
5701270,1/12/15 0:00,2,PASS,MY WING PLACE,12805 CULLEN STE A,77047,Restaurant - Single Service,MIDDLE EASTERN,6,HIGH
5724563,1/26/15 0:00,1,PASS,QUIZNOS AT PARK ROW,1029 N HIGHWAY 6 STE 500,77079,Restaurant - Single Service,DELI,4,MEDIUM
5699891,1/2/15 0:00,1,PASS,DOWNING STREET LTD,2549 KIRBY DR,77019,Restaurant - Single Service,SANDWICHES,3,MEDIUM
5701838,1/15/15 0:00,1,PASS,JACK IN THE BOX #3616,2420 BAY AREA BLVD,77058-1520,Restaurant - Single Service,,6,MEDIUM
5702237,1/20/15 0:00,1,PASS,HUGO  CALIENTE,790 W SAM HOUSTON PKWY N STE 112,77024,Restaurant - Single Service,,6,HIGH
5702321,1/20/15 0:00,1,PASS,GRISBY'S,1303 SAN JACINTO,77002,Restaurant - Single Service,,5,MEDIUM
5702400,1/21/15 0:00,3,FAIL,BUBBA'S SPORTS BAR & GRILL,6225 WASHINGTON AVE,77007,Restaurant - Single Service,LOCAL / CONTINENTAL,7,HIGH
5700131,1/6/15 0:00,1,PASS,SONIC DRIVE-IN #5,1201 W SAM HOUSTON NORTH PKWY STE A,77043,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5700625,1/7/15 0:00,1,PASS,HARDY  SHELL  & CHURCH'S(Shell gasoline),743 N SAM HOUSTON PKWY E,77060,Restaurant - Single Service,OTHER,3,MEDIUM
5701012,1/8/15 0:00,1,PASS,TACO CABANA #402,8101 MAIN,77025,Restaurant - Single Service,MEXICAN / HISPANIC,7,HIGH
5701075,1/9/15 0:00,1,PASS,PIZZA LOVE,10011 LONG POINT,77055,Restaurant - Single Service,,0,HIGH
5701346,1/12/15 0:00,1,PASS,BECK'S PRIME,1202 DAIRY ASHFORD,77079,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5701414,1/13/15 0:00,2,PASS,CAFE CAELI,1155 S DAIRY ASHFORD STE 110,77079,Restaurant - Single Service,,0,MEDIUM
5702629,1/22/15 0:00,1,PASS,MCDONALD'S #13777,7606 WESTHEIMER,77063,Restaurant - Single Service,"BURGERS, ETC.",8,HIGH
5703032,1/26/15 0:00,1,PASS,SUBWAY #13634,9421 MESA  RD STE H,77078,Restaurant - Single Service,SANDWICHES,6,MEDIUM
5703092,1/27/15 0:00,3,PASS,FOODWAY,10949 S SAM HOUSTON PKWY W,77031,Restaurant - Single Service,"BEVERAGES, ETC.",6,MEDIUM
5701593,1/14/15 0:00,1,PASS,CULLEN SHELL,7401 CULLEN,77051,Restaurant - Single Service,CHICKEN,6,MEDIUM
