InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5750410,2/18/15 0:00,1,PASS,SOLO CAKES & COOKIES CAFE,6121 HILLCROFT AVE STE C1,77081,Restaurant - Single Service,DESSERTS,1,LOW
5752110,3/2/15 0:00,1,PASS,SUZHI TEAHOUSE,11209 BELLAIRE BLVD STE C11,77072,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5753900,3/11/15 0:00,1,PASS,MCDONALD'S #5333,6950 WOODRIDGE,77087,Restaurant - Single Service,"BURGERS, ETC.",7,MEDIUM
5755860,3/17/15 0:00,1,PASS,BURGER KING #101,11001 FUQUA ST STE A,77089,Restaurant - Single Service,"BURGERS, ETC.",5,HIGH
5755928,3/14/15 0:00,1,PASS,A & Q CHEVRON,431 W LITTLE YORK,77076,Restaurant - Single Service,,2,LOW
5700517,1/7/15 0:00,3,PASS,BAMBU DESSERTS & DRINKS,3825 RICHMOND,77027,Restaurant - Single Service,,0,MEDIUM
5700889,1/7/15 0:00,1,PASS,NIKO-NIKO'S RESTAURANT,2520 MONTROSE BLVD,77006,Restaurant - Single Service,GREEK,7,HIGH
5701208,1/12/15 0:00,1,PASS,CITILINE DELI #12,1430 ENCLAVE PKWY STE 110,77077,Restaurant - Single Service,,5,HIGH
5703426,1/28/15 0:00,1,PASS,ALAMO TAMALE & TACO # 2,2310 NAVIGATION,77003,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5721993,2/2/15 0:00,1,PASS,STEPHANIES ICE HOUSE,5434 LAWNDALE,77023,Restaurant - Single Service,,0,MEDIUM
5722020,2/2/15 0:00,1,PASS,MCDONALD'S #32587,4440 MCCARTY,77013,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5722355,1/29/15 0:00,1,PASS,MANDOLA'S DELI & SANDWICH SHOP,4105 LEELAND,77023,Restaurant - Single Service,DELI,0,MEDIUM
5729264,2/10/15 0:00,2,PASS,PAPA MURPHY'S  PIZZA,1214 W 43RD ST STE 1000,77018,Restaurant - Single Service,PIZZA,0,LOW
5729539,2/12/15 0:00,1,PASS,JAMY'S DELI,1111 WEST LOOP SOUTH STE 190,77027,Restaurant - Single Service,,3,MEDIUM
5750000,2/16/15 0:00,2,PASS,TAQUERIA LOS REYES,4901 N MCCARTY,77013,Restaurant - Single Service,MEXICAN / HISPANIC,7,HIGH
5750761,2/20/15 0:00,1,PASS,COPPER PENNY,2323 N SHEPHERD,77018,Restaurant - Single Service,CHINESE,6,HIGH
5751039,2/23/15 0:00,1,PASS,BASKIN  ROBBINS #908,1011 EDGEBROOK,77034,Restaurant - Single Service,DESSERTS,2,MEDIUM
5752135,3/3/15 0:00,1,PASS,GULF FWY SHELL,8115 GULF FWY,77017,Restaurant - Single Service,,0,MEDIUM
