InspectionUID,FacilityHashID,InspectionDate,InpsectionHashID,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5702474,1955363,1/22/19 0:00,8E2B1F1F-5056-A20B-FAB09EF1141258D9,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5702764,1961,1/23/19 0:00,E568537B-5056-A20B-FAF44E7CFE3788FF,SUPREME SANDWICH SHOP,2752 W TC JESTER,77018,Restaurant - Single Service,SANDWICHES,7,MEDIUM
5722277,13154,2/4/19 0:00,2B9DCECE-5056-A20B-FAD142868FAEBE90,WHATABURGER #278,11027 FUQUA,77089,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5739810,13182,3/4/19 0:00,B447C1D7-CC58-4155-937A10BAF427CC84,WHATABURGER #131,12121 KATY  FWY,77079,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5749840,13164,2/14/19 0:00,2CC02546-5056-A20B-FA67383E7E646B38,WHATABURGER #271,3712 S SHEPHERD,77098,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5750742,13170,2/20/19 0:00,8AB3E23B-5056-A20B-FA5ABB9F36CDC133,WHATABURGER #550,7001 NORTH LOOP EAST,77028,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5702072,1316,1/17/19 0:00,8F016736-5056-A20B-FA53949574A818E5,KNIGHTS OF COLUMBUS #4577,6320 MADDEN,77048,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5702217,1937,1/21/19 0:00,56EBCFD2-5056-A20B-FA462A68745A0D60,LUPE TORTILLAS,318 STAFFORD,77079,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5702492,1955363,1/22/19 0:00,8F6CA903-5056-A20B-FA7058F564E99656,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5722279,13154,2/4/19 0:00,2BACA731-5056-A20B-FA18A73DFAF24FA7,WHATABURGER #278,11027 FUQUA,77089,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5739811,13182,3/4/19 0:00,DE4A1590-512B-4CC7-87940F8DA23412BE,WHATABURGER #131,12121 KATY  FWY,77079,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5751937,13178,3/1/19 0:00,251BE363-5056-A20B-FA949618269B24A5,WHATABURGER #266,3639 WESTHEIMER RD,77027,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5754308,1955363,3/14/19 0:00,D8BD2CAA-5056-A20B-FADF8056CEE6972B,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5700588,1955363,1/8/19 0:00,BD7B9502-5056-A20B-FA173ACFF12E7729,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5700108,13156,1/6/19 0:00,5F9C161C-5056-A20B-FAAD28686ECA7F7E,WHATABURGER #264,6914 HARRISBURG,77011,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5701220,1207,1/10/19 0:00,B37BE3B5-5056-A20B-FA73157C89096D7E,J & J LOUNGE,3303 LEE,77026,Restaurant - Full Service,,6,HIGH
5728920,1955363,2/7/19 0:00,C7F1C9C0-5056-A20B-FAA48D06F8AC6B29,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5750463,13168,2/18/19 0:00,328C8F6E-5056-A20B-FAFAA1AE769D9D55,WHATABURGER #196,1718 WEST LOOP NORTH,77008,Restaurant - Single Service,,5,MEDIUM
5699976,1527D848-B550-0CF6-3254BDCF831C164D,1/6/19 0:00,4A62246D-5056-A20B-FA4330216EE271ED,SUNRISE TAQUITOS MEXICAN GRILL MEMORIAL,5601 MEMORIAL DR,77007,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5700592,1955363,1/8/19 0:00,BD9BBB35-5056-A20B-FA195BB0317F7635,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5702682,1961,1/23/19 0:00,C0D04CD4-5056-A20B-FA6B9CC7544E91A3,SUPREME SANDWICH SHOP,2752 W TC JESTER,77018,Restaurant - Single Service,SANDWICHES,7,MEDIUM
5749837,13164,2/14/19 0:00,2C6C7993-5056-A20B-FAFEAC49D39428B1,WHATABURGER #271,3712 S SHEPHERD,77098,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5750630,13170,2/20/19 0:00,641D8A29-5056-A20B-FA8EDFBC52CF2265,WHATABURGER #550,7001 NORTH LOOP EAST,77028,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5750795,13153,2/21/19 0:00,9546988B-5056-A20B-FACE221C824B6518,WHATABURGER #270,6705 FONDREN,77036,Restaurant - Single Service,"BURGERS, ETC.",8,MEDIUM
5751457,1955363,2/26/19 0:00,996C79F9-5056-A20B-FA8A06EF79767641,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5752069,19202572-B34B-AAC5-4B78708E80E72730,3/3/19 0:00,9B671933-5056-A20B-FA3310DE3E492F1F,SUPER SANDWICHES,7303 BREEN RD,77086,Restaurant - Single Service,DELI,4,MEDIUM
5701216,1207,1/10/19 0:00,B30B60BB-5056-A20B-FAB734C9E04E1550,J & J LOUNGE,3303 LEE,77026,Restaurant - Full Service,,6,HIGH
5702808,1547E439-05DC-FD3A-30085798FC3A606C,1/24/19 0:00,EDD33C43-5056-A20B-FAC16E1D92FB4ECC,SPANKY CRAWFISH,10827 BELLAIRE BLVD STE 230,77072,Restaurant - Full Service,SEAFOOD,6,HIGH
5722481,1955363,2/5/19 0:00,61AADDDA-5056-A20B-FA5BAC25879F6107,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5750641,1523804B-E46F-1187-05DC930CE3A52C25,2/20/19 0:00,65169021-5056-A20B-FAED7A0467E7C363,TORCHY'S TACOS,350 W 19TH ST STE A,77008,Restaurant - Single Service,MEXICAN / HISPANIC,7,HIGH
5751859,193E3376-D00D-20C4-2C926C13952D6898,2/28/19 0:00,FF1DACC3-5056-A20B-FAD1FDE695711BE0,JINYA  RAMEN BAR,3201 LOUISIANA ST STE 105,77006,Restaurant - Full Service,CHINESE,6,HIGH
5700109,13156,1/6/19 0:00,5FFAACF1-5056-A20B-FA65CE9631EB2EE3,WHATABURGER #264,6914 HARRISBURG,77011,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5751877,2363,2/28/19 0:00,0089FC56-5056-A20B-FAD2196F6F09E603,MCDONALD'S,100 E CROSSTIMBERS,77022,Restaurant - Single Service,,7,HIGH
5754273,1524,3/14/19 0:00,D0D4DEF1-5056-A20B-FA113F6C503E086A,JIMMY G'S RESTAURANT,307 N SAM HOUSTON PKWY E,77060,Restaurant - Full Service,,8,HIGH
5757401,13183,3/26/19 0:00,40969786-5056-A20B-FA82ABC482AF18C0,WHATABURGER # 733,6888 GULF  FWY STE 200,77087,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5750724,1955363,2/20/19 0:00,6FD710AF-5056-A20B-FA15E140AFA3DE06,ILLEGAL MFU,,,"Mobile - Conventional, Restricted, Motorized",,0,LOW
5750792,13153,2/21/19 0:00,9511DFC9-5056-A20B-FACD54AF58622888,WHATABURGER #270,6705 FONDREN,77036,Restaurant - Single Service,"BURGERS, ETC.",8,MEDIUM
