5703479,1/27/15 0:00,1,PASS,THAI LANNA RESTAURANT,1714 WEST LOOP NORTH,77008,Restaurant - Full Service,THAI,7,HIGH
5749909,2/15/15 0:00,2,PASS,OLD HICKORY INN,5427 S BRAESWOOD,77096,Restaurant - Full Service,BARBECUE,7,HIGH
5751822,2/27/15 0:00,3,FAIL,MIA'S TABLE,3131 ARGONNE,77098,Restaurant - Full Service,"BURGERS, ETC.",6,HIGH
5752194,3/3/15 0:00,1,PASS,BROADWAY NOODLE SOUP,3418 BROADWAY STE A,77017,Restaurant - Full Service,VIETNAMESE,7,HIGH
5702839,1/23/15 0:00,1,PASS,ZOE'S KITCHEN,12850 MEMORIAL DR STE 1120,77024,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5752067,2/27/15 0:00,2,PASS,PERICOS MEXICAN CAFE AND BAR,2701 MANGUM,77092,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5755578,3/16/15 0:00,1,PASS,COMPASS (EXXON MOBIL),13501 KATY FWY,77079,Restaurant - Full Service,LOCAL / CONTINENTAL,8,HIGH
5752754,3/5/15 0:00,1,PASS,GOLDEN STAR,7840 W TIDWELL RD,77040,Restaurant - Full Service,CHINESE,9,HIGH
5757156,3/24/15 0:00,1,PASS,LAM BO,6159 WESTHEIMER RD,77057,Restaurant - Full Service,CHINESE,9,HIGH
5757246,3/25/15 0:00,3,FAIL,TAQUERIA DE JALISCO RESTAURANT NO 1,15818 S POST OAK,77053,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5752132,3/2/15 0:00,1,PASS,LOUISIANA FAMOUS FRIED CHICKEN & SEAFOOD,3602 OLD SPANISH TRAIL STE C,77021,Restaurant - Full Service,CHICKEN,8,HIGH
5755587,3/16/15 0:00,1,PASS,NOKTURNE,17062 SATURN LN,77058,Restaurant - Full Service,,4,MEDIUM
5751384,2/25/15 0:00,1,PASS,TAQUERIA EL ALTENO #2,6035 BISSONNET,77081,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
